STATEFP,STATE ABBREV,STATE NAME,2020 TOTAL POP,"2020 
URBAN POP",2020 PCT URBAN POP,"2020 
RURAL POP",2020 PCT RURAL POP,"2010 
TOTAL POP","2010 
URBAN POP",2010 PCT URBAN POP,"2010
 RURAL POP",2010 PCT RURAL POP
01,AL,Alabama,5024279,2900880,57.7372395123758,2123399,42.2627604876242,4779736,2821804,59.04,1957932,40.96
02,AK,Alaska,733391,475967,64.899487449396,257424,35.100512550604,710231,468893,66.02,241338,33.98
04,AZ,Arizona,7151502,6385230,89.2851599566077,766272,10.7148400433923,6392017,5740659,89.81,651358,10.19
05,AR,Arkansas,3011524,1670677,55.476131022034,1340847,44.523868977966,2915918,1637589,56.16,1278329,43.84
06,CA,California,39538223,37259490,94.2366327389069,2278733,5.76336726109315,37253956,35373606,94.95,1880350,5.05
08,CO,Colorado,5773714,4966936,86.0267065531822,806778,13.9732934468178,5029196,4332761,86.15,696435,13.85
09,CT,Connecticut,3605944,3110153,86.2507293513155,495791,13.7492706486845,3574097,3144942,87.99,429155,12.01
10,DE,Delaware,989948,817817,82.6121170000849,172131,17.3878829999151,897934,747949,83.3,149985,16.7
11,DC,District of Columbia,689545,689545,100,0,0,601723,601723,100,0,0
12,FL,Florida,21538187,19714806,91.5341945912161,1823381,8.46580540878394,18801310,17139844,91.16,1661466,8.84
13,GA,Georgia,10711908,7933986,74.0669729426354,2777922,25.9330270573646,9687653,7272151,75.07,2415502,24.93
15,HI,Hawaii,1455271,1252450,86.0630081957244,202821,13.9369918042756,1360301,1250489,91.93,109812,8.07
16,ID,Idaho,1839106,1273437,69.2421752742909,565669,30.7578247257091,1567582,1106370,70.58,461212,29.42
17,IL,Illinois,12812508,11137590,86.9274774306482,1674918,13.0725225693518,12830632,11353553,88.49,1477079,11.51
18,IN,Indiana,6785528,4829686,71.1762739760266,1955842,28.8237260239734,6483802,4697100,72.44,1786702,27.56
19,IA,Iowa,3190369,2014831,63.1535411734505,1175538,36.8464588265495,3046355,1950256,64.02,1096099,35.98
20,KS,Kansas,2937880,2124059,72.2990387626452,813821,27.7009612373548,2853118,2116961,74.2,736157,25.8
21,KY,Kentucky,4505836,2644856,58.6984524070561,1860980,41.3015475929439,4339367,2533343,58.38,1806024,41.62
22,LA,Louisiana,4657757,3332237,71.5416669439818,1325520,28.4583330560182,4533372,3317805,73.19,1215567,26.81
23,ME,Maine,1362359,526309,38.6321813853764,836050,61.3678186146236,1328361,513542,38.66,814819,61.34
24,MD,Maryland,6177224,5288760,85.6170992018421,888464,14.3829007981579,5773552,5034331,87.2,739221,12.8
25,MA,Massachusetts,7029917,6416895,91.2798116962121,613022,8.72018830378794,6547629,6021989,91.97,525640,8.03
26,MI,Michigan,10077331,7404258,73.4743951548282,2673073,26.5256048451718,9883640,7369957,74.57,2513683,25.43
