Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2018 Poverty and Median Household Income Estimates - States and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release Date:  December 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,US,United States,41852315,41619366,42085264,13.1,13,13.2,12997532,12873127,13121937,18,17.8,18.2,8930152,8834521,9025783,17,16.8,17.2,61937,61843,62031,3758704,3714862,3802546,19.5,19.3,19.7
01,AL,Alabama,801758,785668,817848,16.8,16.5,17.1,255613,247744,263482,23.9,23.2,24.6,178175,171349,185001,22.8,21.9,23.7,49881,49123,50639,73915,69990,77840,26,24.6,27.4
02,AK,Alaska,80224,76253,84195,11.1,10.5,11.7,26096,24139,28053,14.5,13.4,15.6,16827,15140,18514,13.2,11.9,14.5,74912,73075,76749,8255,7260,9250,15.9,14,17.8
04,AZ,Arizona,990291,970614,1009968,14.1,13.8,14.4,328780,317583,339977,20.4,19.7,21.1,227586,217990,237182,19.2,18.4,20,59079,58366,59792,95415,89693,101137,22.4,21.1,23.7
05,AR,Arkansas,492306,478253,506359,16.8,16.3,17.3,164056,157120,170992,23.8,22.8,24.8,110333,104406,116260,22.1,20.9,23.3,47094,46401,47787,50658,47249,54067,27.2,25.4,29
06,CA,California,4972955,4927111,5018799,12.8,12.7,12.9,1539628,1512838,1566418,17.4,17.1,17.7,1086618,1063217,1110019,16.9,16.5,17.3,75250,74934,75566,416678,403143,430213,17.5,16.9,18.1
08,CO,Colorado,540579,526780,554378,9.7,9.5,9.9,151618,143217,160019,12.1,11.4,12.8,105173,97675,112671,11.5,10.7,12.3,71949,71309,72589,40263,36753,43773,12.2,11.1,13.3
09,CT,Connecticut,358519,347713,369325,10.3,10,10.6,100250,94949,105551,13.8,13.1,14.5,70910,66291,75529,13,12.2,13.8,76366,75484,77248,26438,23854,29022,14.8,13.4,16.2
10,DE,Delaware,114691,108944,120438,12.2,11.6,12.8,35031,32638,37424,17.6,16.4,18.8,24091,22018,26164,16.5,15.1,17.9,65467,64062,66872,9997,8861,11133,19,16.8,21.2
11,DC,District of Columbia,107806,101833,113779,16.1,15.2,17,30803,27014,34592,24.5,21.5,27.5,20062,16610,23514,24.8,20.5,29.1,82533,80186,84880,10267,8900,11634,23,19.9,26.1
12,FL,Florida,2854438,2815667,2893209,13.7,13.5,13.9,831420,809956,852884,20,19.5,20.5,569270,550737,587803,18.8,18.2,19.4,55433,55052,55814,242357,232495,252219,21.8,20.9,22.7
13,GA,Georgia,1484439,1458654,1510224,14.5,14.2,14.8,516311,501546,531076,21,20.4,21.6,360513,348023,373003,19.9,19.2,20.6,58634,57940,59328,145780,137680,153880,22.7,21.4,24
15,HI,Hawaii,124400,118134,130666,9,8.5,9.5,35184,32034,38334,11.8,10.7,12.9,22819,20314,25324,10.8,9.6,12,80527,78756,82298,10956,9092,12820,13,10.8,15.2
16,ID,Idaho,201804,194060,209548,11.7,11.3,12.1,62392,58102,66682,14.2,13.2,15.2,41467,37605,45329,12.8,11.6,14,55524,54649,56399,18876,17104,20648,16.6,15,18.2
17,IL,Illinois,1509348,1485972,1532724,12.1,11.9,12.3,457282,442712,471852,16.2,15.7,16.7,314467,301816,327118,15.3,14.7,15.9,65063,64570,65556,131558,124748,138368,17.7,16.8,18.6
18,IN,Indiana,844165,826659,861671,13,12.7,13.3,268470,258334,278606,17.5,16.8,18.2,180400,171994,188806,16.2,15.4,17,55725,55210,56240,79691,75156,84226,19.7,18.6,20.8
19,IA,Iowa,342574,332902,352246,11.2,10.9,11.5,96859,91572,102146,13.5,12.8,14.2,64851,60212,69490,12.5,11.6,13.4,60071,59227,60915,28245,25777,30713,14.5,13.2,15.8
20,KS,Kansas,336892,326660,347124,11.9,11.5,12.3,102616,97199,108033,14.8,14,15.6,68153,63396,72910,13.5,12.6,14.4,58150,57401,58899,31157,28414,33900,16.9,15.4,18.4
21,KY,Kentucky,723053,707601,738505,16.7,16.3,17.1,219283,210957,227609,22.3,21.5,23.1,150539,143195,157883,21.2,20.2,22.2,50189,49631,50747,64298,60484,68112,24.2,22.8,25.6
22,LA,Louisiana,848005,830136,865874,18.7,18.3,19.1,286532,276951,296113,26.5,25.6,27.4,196348,188095,204601,25.2,24.1,26.3,48021,47301,48741,87660,82799,92521,29.2,27.6,30.8
23,ME,Maine,151458,145939,156977,11.6,11.2,12,35960,33575,38345,14.8,13.8,15.8,24279,22163,26395,13.6,12.4,14.8,55579,54367,56791,9894,8782,11006,15.9,14.1,17.7
24,MD,Maryland,538824,523341,554307,9.1,8.8,9.4,159872,150870,168874,12.1,11.4,12.8,111001,103211,118791,11.6,10.8,12.4,83076,82103,84049,43605,39494,47716,12.3,11.1,13.5
25,MA,Massachusetts,668402,652693,684111,10,9.8,10.2,166516,157639,175393,12.4,11.7,13.1,114731,106883,122579,11.6,10.8,12.4,79817,78891,80743,46225,42232,50218,13.2,12.1,14.3
26,MI,Michigan,1369235,1349291,1389179,14,13.8,14.2,409201,398097,420305,19.3,18.8,19.8,278372,268693,288051,17.9,17.3,18.5,56640,56237,57043,121410,115951,126869,21.8,20.8,22.8
27,MN,Minnesota,527445,514989,539901,9.6,9.4,9.8,147732,140356,155108,11.5,10.9,12.1,100105,93461,106749,10.8,10.1,11.5,70295,69764,70826,42125,38872,45378,12.1,11.2,13
28,MS,Mississippi,571402,557711,585093,19.8,19.3,20.3,195794,189072,202516,28.2,27.2,29.2,138665,132814,144516,27,25.9,28.1,44740,43972,45508,55423,52217,58629,30.8,29,32.6
29,MO,Missouri,785343,769878,800808,13.2,12.9,13.5,245703,236272,255134,18.3,17.6,19,166723,158453,174993,17.1,16.3,17.9,54412,53683,55141,71760,67630,75890,19.9,18.8,21
30,MT,Montana,134185,128732,139638,12.9,12.4,13.4,36711,34369,39053,16.4,15.4,17.4,23935,21925,25945,14.8,13.6,16,55248,54156,56340,11216,10071,12361,18.4,16.5,20.3
31,NE,Nebraska,205393,198766,212020,11,10.6,11.4,60389,56678,64100,12.9,12.1,13.7,38488,35280,41696,11.5,10.5,12.5,59724,58713,60735,19474,17544,21404,15,13.5,16.5
32,NV,Nevada,391347,380868,401826,13.1,12.7,13.5,124828,119343,130313,18.4,17.6,19.2,84145,79553,88737,17.1,16.2,18,58740,57678,59802,37131,34157,40105,20.5,18.9,22.1
33,NH,New Hampshire,100076,95577,104575,7.6,7.3,7.9,25379,22837,27921,10.1,9.1,11.1,17007,14785,19229,9,7.8,10.2,75322,73932,76712,7159,5972,8346,11.6,9.7,13.5
34,NJ,New Jersey,831386,812117,850655,9.5,9.3,9.7,261055,249871,272239,13.5,12.9,14.1,179815,170183,189447,12.7,12,13.4,81777,81105,82449,76035,70434,81636,15,13.9,16.1
35,NM,New Mexico,386739,375921,397557,18.8,18.3,19.3,119378,114036,124720,25.3,24.2,26.4,83411,78764,88058,24,22.7,25.3,47405,46537,48273,32929,30632,35226,27.2,25.3,29.1
36,NY,New York,2603303,2569152,2637454,13.7,13.5,13.9,751694,733127,770261,18.8,18.3,19.3,511149,495576,526722,17.8,17.3,18.3,67648,67021,68275,220997,211205,230789,19.9,19,20.8
37,NC,North Carolina,1422154,1396634,1447674,14.1,13.8,14.4,457103,444178,470028,20.2,19.6,20.8,314320,303388,325252,19,18.3,19.7,53922,53358,54486,129669,122803,136535,21.8,20.6,23
38,ND,North Dakota,77959,73677,82241,10.6,10,11.2,19332,17588,21076,11,10,12,11823,10402,13244,9.6,8.4,10.8,65250,63367,67133,6936,5975,7897,13,11.2,14.8
39,OH,Ohio,1568586,1542309,1594863,13.8,13.6,14,489053,474343,503763,19.2,18.6,19.8,329764,317103,342425,17.8,17.1,18.5,56155,55735,56575,149036,141573,156499,22.1,21,23.2
40,OK,Oklahoma,593936,581499,606373,15.5,15.2,15.8,200399,193606,207192,21.4,20.7,22.1,135073,129168,140978,19.9,19,20.8,51914,51468,52360,61006,57723,64289,24.3,23,25.6
41,OR,Oregon,516014,501947,530081,12.5,12.2,12.8,134073,126558,141588,15.7,14.8,16.6,88779,82439,95119,14.3,13.3,15.3,63168,62169,64167,38794,34913,42675,17.1,15.4,18.8
42,PA,Pennsylvania,1517936,1494550,1541322,12.2,12,12.4,433329,420626,446032,16.7,16.2,17.2,302127,291143,313111,15.9,15.3,16.5,60891,60577,61205,120441,113858,127024,17.6,16.6,18.6
44,RI,Rhode Island,130538,124551,136525,12.8,12.2,13.4,36239,33846,38632,18,16.8,19.2,24495,22432,26558,16.7,15.3,18.1,63787,62087,65487,10747,9539,11955,20.1,17.8,22.4
45,SC,South Carolina,750582,733961,767203,15.2,14.9,15.5,241192,232102,250282,22.1,21.3,22.9,170543,162381,178705,21.3,20.3,22.3,52449,51828,53070,67318,63147,71489,23.6,22.1,25.1
46,SD,South Dakota,109814,105334,114294,12.9,12.4,13.4,34211,32170,36252,16.1,15.1,17.1,22250,20615,23885,14.8,13.7,15.9,57041,55711,58371,11044,9866,12222,18.4,16.4,20.4
47,TN,Tennessee,1003055,982886,1023224,15.2,14.9,15.5,322616,311705,333527,21.8,21.1,22.5,215957,206366,225548,20,19.1,20.9,52366,51884,52848,100821,95777,105865,25.6,24.3,26.9
48,TX,Texas,4181623,4132580,4230666,14.9,14.7,15.1,1543228,1511665,1574791,21.1,20.7,21.5,1070901,1043460,1098342,20.2,19.7,20.7,60632,60354,60910,448638,433079,464197,22.7,21.9,23.5
49,UT,Utah,283562,272328,294796,9.1,8.7,9.5,89015,82557,95473,9.7,9,10.4,59921,54228,65614,9,8.1,9.9,71381,70662,72100,26242,23344,29140,10.6,9.4,11.8
