state_name,poverty_pct_2016_2020,pct_urban_2020,gov_party_jan2019
Alabama,16.28,57.74,R
Alaska,10.36,64.9,R
Arizona,14.34,89.29,R
Arkansas,16.3,55.48,R
California,12.76,94.24,D
Colorado,9.88,86.03,D
Connecticut,9.9,86.25,D
Delaware,11.82,82.61,D
Florida,13.54,91.53,R
Georgia,14.64,74.07,R
Hawaii,9.18,86.06,D
Idaho,11.84,69.24,R
Illinois,12.0,86.93,D
Indiana,12.76,71.18,R
Iowa,10.98,63.15,R
Kansas,11.58,72.3,D
Kentucky,16.58,58.7,R
Louisiana,19.0,71.54,D
Maine,11.34,38.63,D
Maryland,9.26,85.62,R
Massachusetts,9.98,91.28,R
Michigan,13.7,73.47,D
Minnesota,9.24,71.88,D
Mississippi,19.78,46.29,R
Missouri,13.12,69.47,R
Montana,12.8,53.42,D
Nebraska,10.42,73.01,R
Nevada,13.14,94.09,D
New Hampshire,7.48,58.32,R
New Jersey,9.68,93.75,D
New Mexico,18.24,74.55,D
New York,13.68,87.45,D
North Carolina,14.14,66.72,D
North Dakota,10.4,60.97,R
Ohio,13.56,76.28,R
Oklahoma,15.36,64.62,R
Oregon,12.32,80.5,D
Pennsylvania,12.1,76.45,D
Rhode Island,12.12,91.05,D
South Carolina,14.72,67.95,R
South Dakota,12.42,57.22,R
Tennessee,14.68,66.23,R
Texas,14.44,83.72,R
Utah,9.02,89.78,R
Vermont,10.46,35.12,R
Virginia,10.3,75.63,D
Washington,10.38,83.37,D
West Virginia,17.16,44.65,R
Wisconsin,10.92,67.08,D
Wyoming,10.3,62.02,R
